fdic_cert_number,failure_date,bank_name,city,state,acquiring_institution,event_type,distress_label
32184,1990-11-16,LIBERTY FEDERAL SAVINGS BANK,MONTEBELLO,,,failure,1
32344,1990-11-16,SOUTHEASTERN SAVINGS BANK,CHARLOTTE,,,failure,1
30223,1990-11-15,ACTION FEDERAL SAVINGS,SOMMERS POINT,,,failure,1
21518,1990-11-15,WESTERN BANK,DUNCANVILLE,,,failure,1
32479,1990-11-09,EXECUTIVE BANC SA,NEW BRAUNFELS,,,failure,1
28608,1990-11-09,FLORIDA FEDERAL SAVINGS BANK,ST. PETERSBURG,,,failure,1
19316,1990-11-09,FREEDOM NATIONAL BANK OF NEW YORK,NEW YORK,,,failure,1
32234,1990-11-09,LOUISIANA FEDERAL SAVINGS BANK,KENNER,,,failure,1
30984,1990-11-02,BOONSLICK S & LA,BOONVILLE,,,failure,1
28719,1990-11-02,DESOTO FS & LA,MANSFIELD,,,failure,1
25763,1990-11-02,LONE STAR NATIONAL BANK,DALLAS,,,failure,1
30593,1990-11-02,RIVERSIDE SAVINGS BANK,RIVERSIDE,,,failure,1
25180,1990-11-01,TRINITY NATIONAL BANK,BENBROOK,,,failure,1
32403,1990-10-26,CITY SAVINGS & LOAN,SAN ANTONIO,,,failure,1
32177,1990-10-26,RANCHO BERNARDO FED. SAV. BANK,SAN DIEGO,,,failure,1
13245,1990-10-26,THE FARMERS AND MERCHANTS BANK OF SHEYENNE,SHEYENNE,,,failure,1
4976,1990-10-25,FIRST NATIONAL BANK OF JACKSON,JACKSON,,,failure,1
28464,1990-10-23,SUPERIOR FSA,CLEVELAND,,,failure,1
22064,1990-10-19,FIRST AMERICAN BANK FOR SAVINGS,BOSTON,,,failure,1
32255,1990-10-19,GOLD COAST SAVINGS BANK,PLANTATION,,,failure,1
31518,1990-10-19,"HERITAGE SAVINGS BANK, FSB",RICHMOND,,,failure,1
20863,1990-10-19,METROPOLITAN NATIONAL BANK,MCALLEN,,,failure,1
18236,1990-10-19,THE BROOKLYN SAVINGS BANK,DANIELSON,,,failure,1
32064,1990-10-12,INTERNATIONAL FS & LA,N. MIAMI BEACH,,,failure,1
26225,1990-10-11,UNITED PEOPLES BANK,LAMPASAS,,,failure,1
21619,1990-10-05,MOUNTAIN RIDGE STATE BANK,WEST ORANGE,,,failure,1
11789,1990-10-05,THE PEOPLES BANK & TRUST COMPANY,NATCHITOCHES,,,failure,1
24301,1990-10-04,"WOODWAY BANK AND TRUST, NA",HOUSTON,,,failure,1
