fdic_cert_number,rssd_id,bank_name,city,state,active_status,total_assets,charter_type,established_date,last_updated
18079,,"FIRST CITY, TEXAS - GATEWAY",BEAUMONT,,False,,,,2026-07-10
18088,,BANK OF NORTH AMERICA,HOUSTON,,False,,,,2026-07-10
18093,,THE CITIZENS ST BANK OF MCCRACKEN,MCCRACKEN,,False,,,,2026-07-10
18100,361055,CoreFirst Bank & Trust,Topeka,KS,True,1320825,0,1959-11-30,2026-07-10
18110,,COVE STATE BANK,COPPERAS COVE,,False,,,,2026-07-10
18112,,FIRST CONTINENTAL BANK & TRUST COMPANY OF,DEL CITY,,False,,,,2026-07-10
18113,,NEVADA STATE BANK,LAS VEGAS,NV,,4340636,,,2026-07-10
18117,,MIDWEST BANK&TRUST CO,ELMWOOD PARK,IL,False,3172915,,,2026-07-10
18129,546003,BankNewport,Middletown,RI,True,3068942,0,1819-01-01,2026-07-10
18144,,"MBANK ORANGE, NATIONAL ASSOC",ORANGE,,False,,,,2026-07-10
18147,,PEOPLES NB OF COMMERCE,MIAMI,,False,,,,2026-07-10
18149,,HARBOR COMMUNITY BANK,FORT PIERCE,FL,,2180293,,,2026-07-10
18151,,"FIRST CITY, TEXAS - CENTRAL",BEAUMONT,,False,,,,2026-07-10
18153,,"PENN SQUARE BANK, N.A.",OKLAHOMA CITY,,False,,,,2026-07-10
18167,,MERCANTILE BANK & TRUST,SAN ANTONIO,,False,,,,2026-07-10
18169,,SANTA BARBARA B&T NA,SANTA BARBARA,CA,,5989186,,,2026-07-10
18183,,MERCHANTS MARINE BANK,PORT ISABEL,,False,,,,2026-07-10
18185,738769,Community National Bank & Trust of Texas,Corsicana,TX,True,1676292,14898,1934-01-01,2026-07-10
18190,443205,Union Savings Bank,Danbury,CT,True,3302130,0,1866-07-01,2026-07-10
18194,831008,Ascend Bank,Guilford,CT,True,1473506,0,1875-12-06,2026-07-10
18198,407506,Ion Bank,Naugatuck,CT,True,2769160,0,1870-01-01,2026-07-10
18199,507509,Newtown Savings Bank,Newtown,CT,True,1925047,0,1855-10-01,2026-07-10
18200,311603,Dime Bank,Norwich,CT,True,1220818,0,1869-01-01,2026-07-10
18203,,UNITED BANK,HARTFORD,CT,,7184258,,,2026-07-10
18204,958204,First County Bank,Stamford,CT,True,2359213,0,1851-06-20,2026-07-10
18208,,FARMINGTON BANK,FARMINGTON,CT,,3240889,,,2026-07-10
18213,882701,Fairfield County Bank,Ridgefield,CT,True,1887262,0,1871-05-14,2026-07-10
18214,,SAVINGS INSTITUTE B&T CO,WILLIMANTIC,CT,,1682127,,,2026-07-10
18220,,TARRANT BANK,FORT WORTH,,False,,,,2026-07-10
18221,761806,"Webster Bank, National Association",Stamford,CT,True,85527350,24469,1870-01-01,2026-07-10
18229,545604,Northwest Community Bank,Winsted,CT,True,1234701,0,1875-07-15,2026-07-10
18236,,THE BROOKLYN SAVINGS BANK,DANIELSON,,False,,,,2026-07-10
18238,345309,Chelsea Groton Bank,Groton,CT,True,1737451,0,1854-01-01,2026-07-10
18239,,CONNECTICUT SAVINGS BANK,NEW HAVEN,,False,,,,2026-07-10
18242,,SUFFIELD BANK,SUFFIELD,,False,,,,2026-07-10
18243,,FIRSTCITY BANK,STOCKBRIDGE,,False,,,,2026-07-10
18245,,BURRITT INTERFINANCIAL BANCORPORATION,NEW BRITAIN,,False,,,,2026-07-10
18250,,"UNITED BANK OF WACO, NATIONAL ASSOC",WACO,,False,,,,2026-07-10
